UMD_original_r225,UMD_original_r375,UMD_original_r525,UMD_original_r675,UMD_original_r825,UMD_original_r975,UMD_original_r1125,UMD_original_r1275,SD_antes_r225,SD_antes_r375,SD_antes_r525,SD_antes_r675,SD_antes_r825,SD_antes_r975,SD_antes_r1125,SD_antes_r1275,SD_despues_r225,SD_despues_r375,SD_despues_r525,SD_despues_r675,SD_despues_r825,SD_despues_r975,SD_despues_r1125,SD_despues_r1275
0.06135250837974283,0.10124777605884319,0.08104885350795515,0.12274124159538008,0.12970807697349349,0.09657654089700368,0.07537958462544833,0.027477299746782164,0.03267250854344113,0.06964297768565221,0.05288382506422101,0.06488021120599942,0.062118111935226206,0.06066852254885776,0.07807630698947102,0.0829409093140716,0.03267250854344113,0.06964297768565221,0.05288382506422101,0.06366767176309215,0.04589094791800171,-0.015214345089419915,-0.057450537731526384,-0.12977869483878435
0.05437313612269775,0.09828352165898328,0.08634378496442122,0.11889303227872162,0.1018193954524223,0.10202585502899053,0.1108851979507029,0.14588930294615426,0.02197576935708951,0.06964755854971645,0.06437882257927767,0.07081165877520425,0.040277663445908565,0.09255143658737251,0.07506158301170951,0.06823684838379346,0.02197576935708951,0.06964755854971645,0.06437882257927767,0.06985419717020756,0.023833678978972678,0.0001648222269186336,-0.05395703514503118,-0.12380753913001923
0.048679112611303095,0.09145730077717855,0.09116265600090406,0.10885326410189393,0.12482883197978334,0.08725903955321415,0.1211461892178885,0.07236779530102282,0.012940332130101173,0.06269964119468929,0.055516838916629695,0.060709463073195774,0.063634160877645,0.06729844734147938,0.06746264858373656,0.04862872064861424,0.012940332130101173,0.06269964119468929,0.055516838916629695,0.05904289608736112,0.0438120299951648,-0.017331261037997415,-0.06347308825699713,-0.13252131106182774
0.06247656909315764,0.08665397278758466,0.08958440176787785,0.11184726173927749,0.1188651039890954,0.09229613838595596,0.10364247488333007,0.062044558016697254,0.030720004477081418,0.056773684002493906,0.06444312487127307,0.06634636461795534,0.05479627390827502,0.05683745862802119,0.06744961945556444,0.043127976792434804,0.030720004477081418,0.056773684002493906,0.06444312487127307,0.06574693012967003,0.03760500269545235,-0.02388155360168628,-0.06985199193542632,-0.14176517279234163
0.06992144427029985,0.11501159336419998,0.07529400103546872,0.10445770119940184,0.10753680010430429,0.10132944825799489,0.12118148178697746,0.07521045369301126,0.0357332588024178,0.07723274308357173,0.060268970069391026,0.0569213259899076,0.05311148574975926,0.06634954178876176,0.0766857641387494,0.06341905630086277,0.0357332588024178,0.07723274308357173,0.060268970069391026,0.05558370010244434,0.03600380160272405,-0.022384848515179828,-0.0512275211054084,-0.1371277584558926
0.052471517548513175,0.09701210029029511,0.09103834869757765,0.13309572007517004,0.09962663707247545,0.09977254593653012,0.1067482273651512,0.052329922765012714,0.026228028382387737,0.08110386973086678,0.059252151896858514,0.059321886542500604,0.05213527367340642,0.053688892542017884,0.05765538197227997,0.0687584465886933,0.026228028382387737,0.08110386973086678,0.059252151896858514,0.05870304002012165,0.03623661242041308,-0.029207231720124946,-0.0685104676758542,-0.14084024792795688
0.0791522744959909,0.10185588596196027,0.07216570893083822,0.12602374203761077,0.12766299066908052,0.08514714869647666,0.0949135532623621,0.06605073107779168,0.049134816847022804,0.08226002193032438,0.05699453110995093,0.06255562536022935,0.053035968034799014,0.04734461265015513,0.07224920744620578,0.054724257386446915,0.049134816847022804,0.08226002193032438,0.05699453110995093,0.061331322343966745,0.03471063629211137,-0.02591311264147087,-0.045839872259432785,-0.14389021784134137
0.03681909447263976,0.10116795194748099,0.07986094140117518,0.10808489802164012,0.1301655679841123,0.08488200357344275,0.09922046703498584,0.1035200085518424,0.019027690734280293,0.06463746839940125,0.04783877674174211,0.04774550150432806,0.06671323139774185,0.06005999019447697,0.0561912614887271,0.0911141557563765,0.019027690734280293,0.06463746839940125,0.04783877674174211,0.047133030891796254,0.048561369211015025,-0.026442972488779803,-0.06609033052888119,-0.10352012240838107
0.06400975803259422,0.07789657740384923,0.09613014925417478,0.1164787378242127,0.11222342792989404,0.10587543831960487,0.1312267780230424,0.054324398474660494,0.03478717323387857,0.047654775705268854,0.06850327918443218,0.06717733734631345,0.0508771639614959,0.053088424605897834,0.06961539669273109,0.08177651717643075,0.03478717323387857,0.047654775705268854,0.06850327918443218,0.06674965712479065,0.035878289194544694,-0.0314520070684643,-0.06286761017328814,-0.12674182331201422
0.054290320459551414,0.10547171351875091,0.07904857782194337,0.12088679395611238,0.1068445465029078,0.0990082791196093,0.0827451861037713,0.15588541716299883,0.02392037598219487,0.06506835882640419,0.06032875674326621,0.06460045425181633,0.05846433252822173,0.07754515997478587,0.08381959743444116,0.06016014892621228,0.02392037598219487,0.06506835882640419,0.06032875674326621,0.06341969182607711,0.03952146511046865,-0.01087840313999855,-0.048810260742275915,-0.10976254928276148
0.08192499268682404,0.0921651930570731,0.08002130141747621,0.13246637072546938,0.09967680764142826,0.08793180801325523,0.09733471298941263,0.12944171996960152,0.052203885456217014,0.0664770793275808,0.043807898292106094,0.07727559829330993,0.05840374310514061,0.055035154647739434,0.08647281109322785,0.08337414729435223,0.052203885456217014,0.0664770793275808,0.043807898292106094,0.07620021676566452,0.04068389957879248,-0.032958959859173624,-0.027045200536384432,-0.09546546293931053
0.07005332257403403,0.09116503946569789,0.09163889289139826,0.09973545968417934,0.09838643152969091,0.0973011141577786,0.10613685577780996,0.04671345001258534,0.05047513651169802,0.050160566339614736,0.057641168714741696,0.0473490788582849,0.06069026841898833,0.08149799249656338,0.08753819535016476,0.09094571562027359,0.05047513651169802,0.050160566339614736,0.057641168714741696,0.046309640976105355,0.03958845720851349,0.0015815116869456393,-0.046119063854361056,-0.11240595211308732
