energy,A,error,n,variable
17.78,0.4004537517309235,0.017557095711939218,987,sd_nEM_MC
17.78,-0.12794398255922387,0.023293080663688178,987,sdSignal_REC
17.79,0.04489891316100258,0.07987417514089176,912,nMuones_MC
17.79,-0.09212531891171219,0.02949167698113934,912,sd_nMuons_MC
17.79,0.460909072441218,0.0164856894339016,912,sd_nEM_MC
17.79,-0.036197929200853504,0.023840448640154218,912,sdSignal_REC
17.8,0.13473240493916486,0.08269578222965522,1008,nMuones_MC
17.8,-0.020834765487359803,0.036695597635498484,1008,sd_nMuons_MC
17.8,0.45054217208303715,0.013853747898921012,1008,sd_nEM_MC
17.8,-0.04728511068003159,0.02486576914128072,1008,sdSignal_REC
17.81,0.22285960736723512,0.08930978918189449,1233,nMuones_MC
17.81,-0.09708827798204303,0.029494098353229213,1233,sd_nMuons_MC
17.81,0.4352448872804968,0.01376043805132832,1233,sd_nEM_MC
17.81,-0.08270560337127152,0.02382676310430409,1233,sdSignal_REC
17.82,0.09728382040106931,0.1006513970172712,768,nMuones_MC
17.82,-0.05866341519261219,0.03846738490786358,768,sd_nMuons_MC
17.82,0.4683316092997756,0.017705185667509254,768,sd_nEM_MC
17.82,-0.03686892280316145,0.030818673978651713,768,sdSignal_REC
17.83,0.15507940843293602,0.06404639140588987,1617,nMuones_MC
17.83,-0.17592793943160995,0.026342244531198527,1617,sd_nMuons_MC
17.83,0.43240748842656723,0.010967595237737117,1617,sd_nEM_MC
17.83,-0.09817315816787839,0.020891017380573237,1617,sdSignal_REC
17.84,0.17200521704415664,0.09785932587990005,681,nMuones_MC
17.84,0.01133360165450878,0.04226012297868763,681,sd_nMuons_MC
17.84,0.4468112346856764,0.014517958453932738,681,sd_nEM_MC
17.84,0.034493544049382756,0.030044011621195982,681,sdSignal_REC
17.85,0.16032063150116196,0.06860360522062839,1737,nMuones_MC
17.85,-0.09581694781938668,0.025557399356674834,1737,sd_nMuons_MC
17.85,0.46153261781380167,0.01180206338995751,1737,sd_nEM_MC
17.85,-0.05181321156116562,0.0191028700140209,1737,sdSignal_REC
17.86,0.08719779876214936,0.08110030368788805,1227,nMuones_MC
17.86,-0.16117290713230598,0.030578332139259565,1227,sd_nMuons_MC
17.86,0.44399586305078476,0.014333066426762449,1227,sd_nEM_MC
17.86,-0.003122717885069204,0.022483499941349672,1227,sdSignal_REC
17.87,0.17367456267138434,0.08530269400236379,843,nMuones_MC
17.87,-0.0870444949139495,0.03664150214339308,843,sd_nMuons_MC
17.87,0.47626106399966045,0.016310801548533652,843,sd_nEM_MC
17.87,-0.03488036140509942,0.026286270250094706,843,sdSignal_REC
17.88,-0.0029995681237401928,0.09248439695600097,690,nMuones_MC
17.88,-0.1190609547289376,0.04039825675364945,690,sd_nMuons_MC
17.88,0.4952929814352334,0.01857004168947603,690,sd_nEM_MC
17.88,-0.04485737452402714,0.028439571810300525,690,sdSignal_REC
17.89,0.14530661446714876,0.07036986325876707,1056,nMuones_MC
17.89,0.029646555084006952,0.03399147826756926,1056,sd_nMuons_MC
17.89,0.45246632590815034,0.01502925134068849,1056,sd_nEM_MC
17.89,0.059014526303359696,0.02320161473875622,1056,sdSignal_REC
17.9,0.13483767892948129,0.07167467442211421,1065,nMuones_MC
17.9,-0.14444396501922868,0.030109520034706603,1065,sd_nMuons_MC
17.9,0.4547001236709029,0.014401771679269535,1065,sd_nEM_MC
17.9,-0.05940603130654951,0.021974618720368346,1065,sdSignal_REC
17.91,-0.06336406660154964,0.06977917665313246,1080,nMuones_MC
17.91,-0.0888859422634343,0.029214087972864122,1080,sd_nMuons_MC
17.91,0.41935666963805396,0.014431527985757616,1080,sd_nEM_MC
17.91,-0.038430472823741874,0.021615862153499213,1080,sdSignal_REC
17.92,-0.016051338494686096,0.06698679968527677,1230,nMuones_MC
17.92,-0.06819013248847812,0.031544771369825045,1230,sd_nMuons_MC
17.92,0.4174905333143997,0.013956975471436935,1230,sd_nEM_MC
17.92,-0.08135606216137684,0.020679500440588392,1230,sdSignal_REC
17.93,-0.0021649568779324897,0.07025586605828547,1134,nMuones_MC
17.93,-0.12953801358701947,0.035776508144945034,1134,sd_nMuons_MC
17.93,0.431044997864745,0.015442399848802002,1134,sd_nEM_MC
17.93,-0.014177094705894604,0.024780008772590012,1134,sdSignal_REC
17.94,0.12956317294110298,0.06611254041885722,1356,nMuones_MC
17.94,-0.106070337570281,0.030175689301609267,1356,sd_nMuons_MC
17.94,0.41946755588896517,0.015199100542114792,1356,sd_nEM_MC
17.94,-0.03732284983521484,0.021923521546986097,1356,sdSignal_REC
17.95,0.13628033507122123,0.06826113083206052,1263,nMuones_MC
17.95,-0.050750614964602564,0.028873646723724798,1263,sd_nMuons_MC
