lo,hi,sample,variable,weighted,A,error,n
1050,1400,silent,nMuones_MC,True,,,0
1050,1400,silent,nMuones_MC,False,,,0
1050,1400,silent,sd_nMuons_MC,True,,,0
1050,1400,silent,sd_nMuons_MC,False,,,0
1050,1400,silent,sd_nEM_MC,True,,,0
1050,1400,silent,sd_nEM_MC,False,,,0
1050,1400,silent,sdSignal_REC,True,,,0
1050,1400,silent,sdSignal_REC,False,,,0
1050,1400,candidate,nMuones_MC,True,0.06763515594317,0.015074290160809575,33276
1050,1400,candidate,nMuones_MC,False,0.06626881890184726,0.00894181096739506,33276
1050,1400,candidate,sd_nMuons_MC,True,-0.09261332372449806,0.006077955903619926,33276
1050,1400,candidate,sd_nMuons_MC,False,-0.09412050246911605,0.01171314514786397,33276
1050,1400,candidate,sd_nEM_MC,True,0.419299615601871,0.003501878733687093,33276
1050,1400,candidate,sd_nEM_MC,False,0.41891814630762997,0.005802956298330981,33276
1050,1400,candidate,sdSignal_REC,True,-0.05585398319505236,0.004568042624063995,33276
1050,1400,candidate,sdSignal_REC,False,-0.060103012940166255,0.012854825540395467,33276
1050,1400,SDsignal_zero,nMuones_MC,True,,,0
1050,1400,SDsignal_zero,nMuones_MC,False,,,0
1050,1400,SDsignal_zero,sd_nMuons_MC,True,,,0
1050,1400,SDsignal_zero,sd_nMuons_MC,False,,,0
1050,1400,SDsignal_zero,sd_nEM_MC,True,,,0
1050,1400,SDsignal_zero,sd_nEM_MC,False,,,0
1050,1400,SDsignal_zero,sdSignal_REC,True,,,0
1050,1400,SDsignal_zero,sdSignal_REC,False,,,0
1050,1400,SDsignal_positive,nMuones_MC,True,0.06823351632430517,0.015061655284907988,33312
1050,1400,SDsignal_positive,nMuones_MC,False,0.06697509602491905,0.008896877503325063,33312
1050,1400,SDsignal_positive,sd_nMuons_MC,True,-0.09307970225588567,0.006072554797768614,33312
1050,1400,SDsignal_positive,sd_nMuons_MC,False,-0.09452701645838728,0.011419572408991746,33312
1050,1400,SDsignal_positive,sd_nEM_MC,True,0.419457544460867,0.003499661007373449,33312
1050,1400,SDsignal_positive,sd_nEM_MC,False,0.41893724961632667,0.005823455884685908,33312
1050,1400,SDsignal_positive,sdSignal_REC,True,-0.05657534550271945,0.004564495863433241,33312
1050,1400,SDsignal_positive,sdSignal_REC,False,-0.060794018009440835,0.012755022814156778,33312
1400,1800,modules,nMuones_MC,True,0.01765354379249109,0.05719648625564083,5511
1400,1800,modules,nMuones_MC,False,0.03338591344106345,0.07294526549848934,5511
1400,1800,modules,sd_nMuons_MC,True,-0.10400054370908265,0.012944760527301731,5511
1400,1800,modules,sd_nMuons_MC,False,-0.10520943574199108,0.0225250402059777,5511
1400,1800,modules,sd_nEM_MC,True,0.4884657921826823,0.008100475701928322,5511
1400,1800,modules,sd_nEM_MC,False,0.4873716355019827,0.015136009179902692,5511
1400,1800,modules,sdSignal_REC,True,-0.1815170282422614,0.00944056903169608,5511
1400,1800,modules,sdSignal_REC,False,-0.18883567361954712,0.025714077680800463,5511
1400,1800,station_once,nMuones_MC,True,-0.012670854134563234,0.09534514190948602,1837
1400,1800,station_once,nMuones_MC,False,0.045747434974184265,0.0850475845321432,1837
1400,1800,station_once,sd_nMuons_MC,True,-0.10399621925353182,0.02246859729354804,1837
1400,1800,station_once,sd_nMuons_MC,False,-0.10520943574199108,0.0225250402059777,1837
1400,1800,station_once,sd_nEM_MC,True,0.48844286436504053,0.014075369050731635,1837
1400,1800,station_once,sd_nEM_MC,False,0.4873716355019827,0.015136009179902692,1837
1400,1800,station_once,sdSignal_REC,True,-0.181497406067254,0.016382846214412206,1837
1400,1800,station_once,sdSignal_REC,False,-0.18883567379033825,0.025714077788640623,1837
1400,1800,silent,nMuones_MC,True,,,0
1400,1800,silent,nMuones_MC,False,,,0
1400,1800,silent,sd_nMuons_MC,True,,,0
1400,1800,silent,sd_nMuons_MC,False,,,0
1400,1800,silent,sd_nEM_MC,True,,,0
1400,1800,silent,sd_nEM_MC,False,,,0
1400,1800,silent,sdSignal_REC,True,,,0
1400,1800,silent,sdSignal_REC,False,,,0
1400,1800,candidate,nMuones_MC,True,-0.01977825964378434,0.05840301297799436,5196
1400,1800,candidate,nMuones_MC,False,0.0026340862720070244,0.07769504566026539,5196
1400,1800,candidate,sd_nMuons_MC,True,-0.11256292771280604,0.013295526593514777,5196
1400,1800,candidate,sd_nMuons_MC,False,-0.11483610839118003,0.026895777430881042,5196
1400,1800,candidate,sd_nEM_MC,True,0.4743233794534103,0.008294285744779908,5196
1400,1800,candidate,sd_nEM_MC,False,0.47451741020801985,0.015878651286045643,5196
1400,1800,candidate,sdSignal_REC,True,-0.16174660773773222,0.009865866668703762,5196
1400,1800,candidate,sdSignal_REC,False,-0.16368081841020155,0.02635441846951515,5196
1400,1800,SDsignal_zero,nMuones_MC,True,,,0
1400,1800,SDsignal_zero,nMuones_MC,False,,,0
1400,1800,SDsignal_zero,sd_nMuons_MC,True,,,0
1400,1800,SDsignal_zero,sd_nMuons_MC,False,,,0
1400,1800,SDsignal_zero,sd_nEM_MC,True,,,0
1400,1800,SDsignal_zero,sd_nEM_MC,False,,,0
1400,1800,SDsignal_zero,sdSignal_REC,True,,,0
1400,1800,SDsignal_zero,sdSignal_REC,False,,,0
1400,1800,SDsignal_positive,nMuones_MC,True,0.01765354379249109,0.05719648625564083,5511
1400,1800,SDsignal_positive,nMuones_MC,False,0.03338591344106345,0.07294526549848934,5511
1400,1800,SDsignal_positive,sd_nMuons_MC,True,-0.10400054370908265,0.012944760527301731,5511
1400,1800,SDsignal_positive,sd_nMuons_MC,False,-0.10520943574199108,0.0225250402059777,5511
1400,1800,SDsignal_positive,sd_nEM_MC,True,0.4884657921826823,0.008100475701928322,5511
1400,1800,SDsignal_positive,sd_nEM_MC,False,0.4873716355019827,0.015136009179902692,5511
1400,1800,SDsignal_positive,sdSignal_REC,True,-0.1815170282422614,0.00944056903169608,5511
1400,1800,SDsignal_positive,sdSignal_REC,False,-0.18883567361954712,0.025714077680800463,5511
1050,1200,modules,nMuones_MC,True,0.10566522786284782,0.018019803689977833,19929
1050,1200,modules,nMuones_MC,False,0.10518798497142266,0.01347264424558139,19929
1050,1200,modules,sd_nMuons_MC,True,-0.06412643263732398,0.008101974288614207,19929
1050,1200,modules,sd_nMuons_MC,False,-0.07030373745034627,0.01608940260403259,19929
1050,1200,modules,sd_nEM_MC,True,0.4436652870634985,0.003665656172168497,19929
1050,1200,modules,sd_nEM_MC,False,0.4435828581398448,0.004969166232466725,19929
1050,1200,modules,sdSignal_REC,True,-0.01653849121448541,0.005949888919751957,19929
1050,1200,modules,sdSignal_REC,False,-0.022828587777147125,0.0136742227744264,19929
1050,1200,station_once,nMuones_MC,True,0.09865029060188876,0.03118875221451855,6643
1050,1200,station_once,nMuones_MC,False,0.10053007229769709,0.01992455960548379,6643
1050,1200,station_once,sd_nMuons_MC,True,-0.0641220744720624,0.01404191052146979,6643
1050,1200,station_once,sd_nMuons_MC,False,-0.07030373745034627,0.01608940260403259,6643
1050,1200,station_once,sd_nEM_MC,True,0.4436661672458744,0.006353833649276686,6643
1050,1200,station_once,sd_nEM_MC,False,0.4435828581398448,0.004969166232466725,6643
1050,1200,station_once,sdSignal_REC,True,-0.01653445536713597,0.010311892346622041,6643
1050,1200,station_once,sdSignal_REC,False,-0.022828587777147084,0.013674222774426379,6643
1050,1200,silent,nMuones_MC,True,,,0
1050,1200,silent,nMuones_MC,False,,,0
1050,1200,silent,sd_nMuons_MC,True,,,0
1050,1200,silent,sd_nMuons_MC,False,,,0
1050,1200,silent,sd_nEM_MC,True,,,0
1050,1200,silent,sd_nEM_MC,False,,,0
1050,1200,silent,sdSignal_REC,True,,,0
1050,1200,silent,sdSignal_REC,False,,,0
1050,1200,candidate,nMuones_MC,True,0.10566522786284782,0.018019803689977833,19929
1050,1200,candidate,nMuones_MC,False,0.10518798497142266,0.01347264424558139,19929
1050,1200,candidate,sd_nMuons_MC,True,-0.06412643263732398,0.008101974288614207,19929
1050,1200,candidate,sd_nMuons_MC,False,-0.07030373745034627,0.01608940260403259,19929
1050,1200,candidate,sd_nEM_MC,True,0.4436652870634985,0.003665656172168497,19929
1050,1200,candidate,sd_nEM_MC,False,0.4435828581398448,0.004969166232466725,19929
1050,1200,candidate,sdSignal_REC,True,-0.01653849121448541,0.005949888919751957,19929
1050,1200,candidate,sdSignal_REC,False,-0.022828587777147125,0.0136742227744264,19929
1050,1200,SDsignal_zero,nMuones_MC,True,,,0
1050,1200,SDsignal_zero,nMuones_MC,False,,,0
1050,1200,SDsignal_zero,sd_nMuons_MC,True,,,0
1050,1200,SDsignal_zero,sd_nMuons_MC,False,,,0
1050,1200,SDsignal_zero,sd_nEM_MC,True,,,0
1050,1200,SDsignal_zero,sd_nEM_MC,False,,,0
1050,1200,SDsignal_zero,sdSignal_REC,True,,,0
1050,1200,SDsignal_zero,sdSignal_REC,False,,,0
1050,1200,SDsignal_positive,nMuones_MC,True,0.10566522786284782,0.018019803689977833,19929
1050,1200,SDsignal_positive,nMuones_MC,False,0.10518798497142266,0.01347264424558139,19929
1050,1200,SDsignal_positive,sd_nMuons_MC,True,-0.06412643263732398,0.008101974288614207,19929
1050,1200,SDsignal_positive,sd_nMuons_MC,False,-0.07030373745034627,0.01608940260403259,19929
1050,1200,SDsignal_positive,sd_nEM_MC,True,0.4436652870634985,0.003665656172168497,19929
1050,1200,SDsignal_positive,sd_nEM_MC,False,0.4435828581398448,0.004969166232466725,19929
