source,event_id,sdId,r,phi,theta,logE,mu,em,has_rec,has_md,signal,candidate,silent,has_particles,thinning,weight,inside_rmin
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4008,1016.6747627862173,-1.311506309034871,38.09215283136329,17.507049245155446,0,34,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4009,888.6403372710373,-1.938402328399532,38.09215283136329,17.507049245155446,2,25,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4010,1124.9823514924333,-2.497133759396914,38.09215283136329,17.507049245155446,0,14,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4011,1084.4942239905158,3.1074354530927373,38.09215283136329,17.507049245155446,1,12,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4012,1473.4463829690835,2.607618276619205,38.09215283136329,17.507049245155446,0,1,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4013,1573.64635631425,2.158757774114821,38.09215283136329,17.507049245155446,0,2,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4015,1718.5030145038065,1.5110213580558773,38.09215283136329,17.507049245155446,0,3,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4016,1704.6863771841013,1.1587564897232103,38.09215283136329,17.507049245155446,0,4,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4021,1548.0340600464635,-1.6579568424099067,38.09215283136329,17.507049245155446,0,4,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4022,1561.8830657035028,-2.0461220212873505,38.09215283136329,17.507049245155446,0,3,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4023,1789.4950763011575,-2.3796655085793943,38.09215283136329,17.507049245155446,0,3,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4024,1568.8054791473837,-2.802096536248701,38.09215283136329,17.507049245155446,0,2,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4025,1674.6228558956168,3.027615032924848,38.09215283136329,17.507049245155446,0,1,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10019:Shower_1:Use_1,4026,305.55860182869714,-1.8319960808961833,31.162099465495785,17.868080013162505,15,7854,1,-1,129.2843177893763,1,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10019:Shower_1:Use_1,4047,449.142839717303,1.5640654223980335,31.162099465495785,17.868080013162505,10,2672,1,-1,38.06943678247185,1,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10019:Shower_1:Use_1,4027,515.1578695973527,-0.011354280273496973,31.162099465495785,17.868080013162505,13,2391,1,-1,30.585361857827035,1,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10019:Shower_1:Use_1,4046,612.2070699286728,2.877531572247898,31.162099465495785,17.868080013162505,9,607,1,-1,18.149953242803324,1,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10019:Shower_1:Use_1,4045,891.3326693214655,-2.426345232151192,31.162099465495785,17.868080013162505,3,128,1,-1,4.503972935593054,1,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10019:Shower_1:Use_1,4012,866.2800721167038,-1.0470943141775952,31.162099465495785,17.868080013162505,1,254,1,-1,3.3733507704530026,1,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10019:Shower_1:Use_1,4048,949.6580534340563,0.8908784123994082,31.162099465495785,17.868080013162505,1,207,1,-1,1.9383453728002085,1,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10019:Shower_1:Use_1,4028,1144.857114489241,0.2502286783049798,31.162099465495785,17.868080013162505,2,84,1,-1,1.4979116427541255,0,1,1,1.0,1.0,0
